,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
2506363,2,1,4,,2,1,3,4,3,2,3,2,2,3,0,4,4
2543497,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2506340,2,0,1,2,,0,2,1,0,0,1,1,1,1,0,1,2
2534870,0,,,,,,,,,,,,,,,,0
2533031,4,1,1,2,2,1,3,2,1,,2,0,4,2,2,2,2
2495143,1,1,0,1,2,1,2,1,,1,1,1,2,2,0,1,1
2506109,3,3,0,5,4,1,0,,1,3,0,3,2,0,1,3,0
2495441,1,2,0,1,1,0,0,,0,0,0,0,0,0,0,0,0
2543477,1,2,2,2,,1,1,3,2,2,2,2,0,1,0,1,1
2555365,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2555302,0,,,,,,,,,,,,,,,,
2532970,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2552588,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
81294,0,0,2,2,2,0,0,,,,,,,,,,
2533436,2,1,0,2,1,2,0,1,,2,1,0,2,0,0,0,1
2552369,0,0,0,0,0,0,0,0,0,1,,0,1,0,1,0,
2495455,1,4,0,1,0,2,,0,1,1,1,2,1,1,2,1,1
2555426,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
2505245,2,3,0,1,0,1,0,3,,1,2,2,3,2,2,1,3
2555259,2,1,2,,2,0,1,1,0,0,2,0,1,1,0,1,2
2532888,0,0,2,2,0,3,1,,1,0,0,0,0,0,0,0,0
252,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
81284,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2555416,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
2495215,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2555387,0,0,0,1,1,2,0,0,1,1,0,0,,0,0,0,0
2495186,0,0,0,0,0,1,1,,2,1,2,3,0,1,2,2,1
497123,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2555332,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1
2555260,0,0,1,2,1,3,,2,3,2,3,1,1,1,0,3,0
2506481,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
2543751,,,,,,,,,,,,0,0,0,0,0,0
2506546,0,0,0,2,0,0,,0,0,0,0,0,0,0,0,0,0
2543499,1,3,1,4,2,1,1,4,0,,3,2,2,0,1,3,0
2504775,4,1,3,2,,4,3,1,3,3,2,4,0,0,4,1,2
2495748,0,0,0,0,2,0,0,0,,0,0,0,0,0,0,0,0
2539228,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
2505996,3,0,1,0,1,3,0,,4,3,2,3,2,1,2,1,0
2539335,0,0,0,0,0,0,1,,,,,,,,,,
2555261,0,0,0,0,,,,,,,,,,,,0,0
2556232,,,,,,,,,,,,0,0,0,0,0,0
2552033,4,1,3,0,1,,3,2,3,2,1,2,1,0,2,2,1
2555334,0,0,0,0,0,0,0,,0,0,0,3,1,0,0,1,0
2495824,1,0,0,0,0,0,0,1,,1,1,0,0,,,,
2543801,1,3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2556492,0,0,0,,0,0,,0,0,0,0,0,,,0,0,0
382,1,2,0,1,1,0,0,,1,3,1,1,4,2,2,1,0
1037347,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
2505076,0,2,0,0,0,0,0,2,0,0,1,1,,0,0,0,0
2506895,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
2532820,0,1,2,3,1,2,1,2,,2,3,3,1,2,0,1,1
2539287,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,3
2543767,,,,,,,,,,,,,0,0,0,0,0
2506053,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2552466,2,2,0,0,3,3,2,2,3,4,2,2,,0,0,1,
2506562,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1
79860,3,1,3,0,3,4,1,1,2,,0,1,2,1,0,0,2
2542065,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
2507282,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,2,2
310,2,3,2,4,1,3,1,3,4,1,,2,1,3,2,2,4
2505982,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
2539275,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0
2555427,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2532842,0,0,0,0,,0,0,2,1,0,0,0,0,0,0,0,0
2555316,0,0,0,1,1,0,0,0,0,0,,0,0,0,0,0,0
2506121,1,4,0,2,4,1,1,2,2,3,,3,2,2,2,2,2
2533033,0,,,,,,,,,,,,,0,0,0,2
2532975,1,0,1,3,,0,0,0,2,3,1,0,1,1,3,4,1
2506581,2,1,0,1,1,0,1,1,1,0,,2,0,0,0,0,2
2541185,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
2495443,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2539961,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,
2532956,0,2,3,1,0,0,1,,1,2,2,3,1,3,0,0,0
2495425,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
2552576,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2504833,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
2550376,,,,,,,,,,,,0,,,,,
2508123,,,,,,,,,,,,,,,0,0,0
2553656,,,,,,,,,,0,0,0,0,0,0,0,0
