,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
2506363,199,213,205,,259,294,326,246,297,371,351,313,209,246,252,347,300
2543497,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2506340,363,186,237,287,,224,214,127,0,178,261,220,270,264,163,244,264
2534870,0,,,,,,,,,,,,,,,,0
2533031,385,197,331,234,322,252,353,210,281,,262,0,278,276,250,288,321
2495143,366,366,206,296,269,254,308,284,,204,207,283,332,180,157,268,226
2506109,300,259,257,300,380,189,0,,264,408,167,221,289,220,286,279,0
2495441,170,243,119,196,162,0,0,,0,0,0,0,35,0,0,0,0
2543477,320,329,194,207,,271,246,337,252,265,202,126,181,257,92,325,301
2555365,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2555302,0,,,,,,,,,,,,,,,,
2532970,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2552588,0,0,0,,0,0,0,0,0,8,9,0,0,0,0,0,0
81294,0,78,317,302,397,302,49,,,,,,,,,,
2533436,231,268,196,254,184,269,131,186,,99,243,246,202,147,48,0,253
2552369,0,0,0,0,0,0,0,0,19,163,,0,135,257,235,0,
2495455,194,353,262,165,0,322,,212,225,261,192,246,182,160,300,198,237
2555426,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,96
2505245,271,304,287,288,0,213,342,363,,376,198,289,300,145,318,284,255
2555259,278,190,301,,238,179,138,202,364,231,218,254,308,314,170,152,245
2532888,130,239,190,266,271,321,291,,296,165,0,0,0,0,32,0,0
252,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
81284,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,16,0
2555416,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
2495215,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2555387,0,0,244,223,62,336,82,0,203,91,128,0,,0,0,11,0
2495186,0,0,0,0,0,187,143,,398,210,206,296,4,133,183,266,215
497123,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2555332,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,150
2555260,227,292,248,245,227,247,,287,247,319,301,195,139,165,279,212,37
2506481,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
2543751,,,,,,,,,,,,0,0,0,0,0,22
2506546,0,0,3,172,278,0,,0,0,0,0,0,0,0,0,0,0
2543499,319,299,249,199,317,225,200,513,184,,295,315,260,117,213,232,0
2504775,423,263,376,207,,465,367,265,323,303,285,310,326,257,389,299,350
2495748,0,11,0,37,124,12,0,0,,0,0,0,0,0,0,0,8
2539228,0,10,0,0,0,0,0,35,0,,0,0,0,0,0,0,86
2505996,207,368,350,261,199,403,196,,257,240,227,194,195,193,201,356,180
2539335,0,0,0,0,0,31,95,,,,,,,,,,
2555261,0,92,103,205,,,,,,,,,,,,0,0
2556232,,,,,,,,,,,,0,0,0,0,0,0
2552033,281,243,405,179,219,,269,180,261,312,331,220,280,184,247,277,202
2555334,0,0,0,0,0,0,0,,0,0,134,214,161,235,135,90,120
2495824,216,157,0,0,0,0,0,252,,182,252,0,0,,,,
2543801,264,232,0,0,0,0,0,0,,0,0,0,0,0,0,6,0
2556492,0,0,0,,0,0,,0,0,0,0,0,,,0,0,0
382,258,302,214,298,210,307,248,,241,296,269,234,381,324,206,262,267
1037347,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
2505076,0,260,0,0,0,0,0,341,0,59,118,322,,0,0,0,0
2506895,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
2532820,329,364,296,183,260,263,301,458,,262,375,449,271,234,315,270,287
2539287,0,0,0,0,0,0,281,,0,0,0,0,0,0,0,0,277
2543767,,,,,,,,,,,,,0,0,0,0,0
2506053,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2552466,271,238,214,202,163,284,232,270,313,295,290,226,,88,241,99,
2506562,0,0,0,0,0,0,0,10,0,0,0,0,,0,0,124,150
79860,340,260,385,213,180,270,266,240,219,,278,232,341,223,273,260,347
2542065,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,29,21
2507282,0,0,0,0,0,0,0,,0,0,0,0,0,47,236,233,205
310,334,396,240,503,267,335,273,288,344,267,,269,297,237,286,277,331
2505982,0,0,0,0,0,0,0,0,0,0,,0,0,0,16,0,0
2539275,0,0,0,0,0,,0,0,75,0,0,0,0,0,0,0,0
2555427,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2532842,0,0,0,0,,0,0,223,187,0,0,0,0,0,0,0,0
2555316,0,0,0,170,223,0,0,0,0,0,,0,104,0,0,0,0
2506121,243,220,326,321,359,178,371,267,275,326,,242,225,236,206,322,269
2533033,190,,,,,,,,,,,,,104,196,164,232
2532975,258,254,243,309,,270,225,253,282,348,272,151,277,240,229,350,258
2506581,189,374,188,261,255,174,120,228,194,0,,269,81,0,31,136,210
2541185,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
2495443,0,0,0,0,0,0,0,,9,0,0,0,5,0,0,0,12
2539961,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,
2532956,186,387,319,189,191,252,204,,149,240,172,285,226,195,0,0,0
2495425,0,0,0,0,0,0,0,0,0,,0,205,11,0,0,0,0
2552576,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,19
2504833,236,0,0,0,0,,0,0,0,0,0,0,6,0,0,0,0
2550376,,,,,,,,,,,,0,,,,,
2508123,,,,,,,,,,,,,,,0,0,0
2553656,,,,,,,,,,0,0,0,0,0,0,0,0
2504211,,,,,406,376,222,315,,316,280,286,269,406,188,214,276
2543640,0,0,0,0,0,0,0,0,,0,0,0,0,0,260,176,25
2556477,0,0,65,0,,0,0,0,0,0,0,0,38,0,0,0,42
2553457,178,266,312,68,0,230,157,276,283,258,,368,0,334,282,183,206
2540173,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2495240,111,297,119,246,124,179,221,183,289,,166,166,191,228,174,329,0
