Player Id,Player Id,ID,Name
aaronrodgers/2506363,aaronrodgers,2506363,"Rodgers, Aaron"
ajmccarron/2543497,ajmccarron,2543497,"McCarron, AJ"
alexsmith/2506340,alexsmith,2506340,"Smith, Alex"
alextanney/2534870,alextanney,2534870,"Tanney, Alex"
andrewluck/2533031,andrewluck,2533031,"Luck, Andrew"
andydalton/2495143,andydalton,2495143,"Dalton, Andy"
benroethlisberger/2506109,benroethlisberger,2506109,"Roethlisberger, Ben"
blainegabbert/2495441,blainegabbert,2495441,"Gabbert, Blaine"
blakebortles/2543477,blakebortles,2543477,"Bortles, Blake"
brandonallen/2555365,brandonallen,2555365,"Allen, Brandon"
brandondoughty/2555302,brandondoughty,2555302,"Doughty, Brandon"
brandonweeden/2532970,brandonweeden,2532970,"Weeden, Brandon"
bretthundley/2552588,bretthundley,2552588,"Hundley, Brett"
brianhoyer/81294,brianhoyer,81294,"Hoyer, Brian"
brockosweiler/2533436,brockosweiler,2533436,"Osweiler, Brock"
brycepetty/2552369,brycepetty,2552369,"Petty, Bryce"
camnewton/2495455,camnewton,2495455,"Newton, Cam"
cardalejones/2555426,cardalejones,2555426,"Jones, Cardale"
carsonpalmer/2505245,carsonpalmer,2505245,"Palmer, Carson"
carsonwentz/2555259,carsonwentz,2555259,"Wentz, Carson"
casekeenum/2532888,casekeenum,2532888,"Keenum, Case"
chadhenne/252,chadhenne,252,"Henne, Chad"
chasedaniel/81284,chasedaniel,81284,"Daniel, Chase"
christianhackenberg/2555416,christianhackenberg,2555416,"Hackenberg, Christian"
christianponder/2495215,christianponder,2495215,"Ponder, Christian"
codykessler/2555387,codykessler,2555387,"Kessler, Cody"
colinkaepernick/2495186,colinkaepernick,2495186,"Kaepernick, Colin"
coltmccoy/497123,coltmccoy,497123,"McCoy, Colt"
connorcook/2555332,connorcook,2555332,"Cook, Connor"
connorshaw/2550252,connorshaw,2550252,"Shaw, Connor"
dakprescott/2555260,dakprescott,2555260,"Prescott, Dak"
danorlovsky/2506481,danorlovsky,2506481,"Orlovsky, Dan"
davidfales/2543751,davidfales,2543751,"Fales, David"
derekanderson/2506546,derekanderson,2506546,"Anderson, Derek"
derekcarr/2543499,derekcarr,2543499,"Carr, Derek"
drewbrees/2504775,drewbrees,2504775,"Brees, Drew"
drewstanton/2495748,drewstanton,2495748,"Stanton, Drew"
ejmanuel/2539228,ejmanuel,2539228,"Manuel, EJ"
elimanning/2505996,elimanning,2505996,"Manning, Eli"
garrettgrayson/2552371,garrettgrayson,2552371,"Grayson, Garrett"
genosmith/2539335,genosmith,2539335,"Smith, Geno"
jacobybrissett/2555261,jacobybrissett,2555261,"Brissett, Jacoby"
jakerudock/2556232,jakerudock,2556232,"Rudock, Jake"
jameillshowers/2553600,jameillshowers,2553600,"Showers, Jameill"
jameiswinston/2552033,jameiswinston,2552033,"Winston, Jameis"
jaredgoff/2555334,jaredgoff,2555334,"Goff, Jared"
jaycutler/2495824,jaycutler,2495824,"Cutler, Jay"
jimmygaroppolo/2543801,jimmygaroppolo,2543801,"Garoppolo, Jimmy"
joecallahan/2556492,joecallahan,2556492,"Callahan, Joe"
joeflacco/382,joeflacco,382,"Flacco, Joe"
joelstave/2556687,joelstave,2556687,"Stave, Joel"
joewebb/1037347,joewebb,1037347,"Webb, Joe"
joshmccown/2505076,joshmccown,2505076,"McCown, Josh"
kellenclemens/2506895,kellenclemens,2506895,"Clemens, Kellen"
kellenmoore/2532917,kellenmoore,2532917,"Moore, Kellen"
kirkcousins/2532820,kirkcousins,2532820,"Cousins, Kirk"
landryjones/2539287,landryjones,2539287,"Jones, Landry"
loganthomas/2543767,loganthomas,2543767,"Thomas, Logan"
lukemccown/2506053,lukemccown,2506053,"McCown, Luke"
marcusmariota/2552466,marcusmariota,2552466,"Mariota, Marcus"
mattcassel/2506562,mattcassel,2506562,"Cassel, Matt"
matthewstafford/79860,matthewstafford,79860,"Stafford, Matthew"
mattmcgloin/2542065,mattmcgloin,2542065,"McGloin, Matt"
mattmoore/2507282,mattmoore,2507282,"Moore, Matt"
mattryan/310,mattryan,310,"Ryan, Matt"
mattschaub/2505982,mattschaub,2505982,"Schaub, Matt"
mattsimms/2534889,mattsimms,2534889,"Simms, Matt"
mikeglennon/2539275,mikeglennon,2539275,"Glennon, Mike"
natesudfeld/2555427,natesudfeld,2555427,"Sudfeld, Nate"
nickfoles/2532842,nickfoles,2532842,"Foles, Nick"
paxtonlynch/2555316,paxtonlynch,2555316,"Lynch, Paxton"
philiprivers/2506121,philiprivers,2506121,"Rivers, Philip"
robertgriffiniii/2533033,robertgriffiniii,2533033,"Griffin III, Robert"
russellwilson/2532975,russellwilson,2532975,"Wilson, Russell"
ryanfitzpatrick/2506581,ryanfitzpatrick,2506581,"Fitzpatrick, Ryan"
ryangriffin/2541185,ryangriffin,2541185,"Griffin, Ryan"
ryanmallett/2495443,ryanmallett,2495443,"Mallett, Ryan"
ryannassib/2539961,ryannassib,2539961,"Nassib, Ryan"
ryantannehill/2532956,ryantannehill,2532956,"Tannehill, Ryan"
scotttolzien/2495425,scotttolzien,2495425,"Tolzien, Scott"
seanmannion/2552576,seanmannion,2552576,"Mannion, Sean"
shaunhill/2504833,shaunhill,2504833,"Hill, Shaun"
stephenmorris/2550376,stephenmorris,2550376,"Morris, Stephen"
t.j.yates/2508123,t.j.yates,2508123,"Yates, T.J."
taylorheinicke/2553656,taylorheinicke,2553656,"Heinicke, Taylor"
